Country;Year;Attack Type;Target Industry;Financial Loss (in Million $);Number of Affected Users;Attack Source;Security Vulnerability Type;Defense Mechanism Used;Incident Resolution Time (in Hours)
Italy;2016;SQL Injection;Government;91.78;294653;Insider;Zero-day;Firewall;68
India;2015;Malware;Telecommunications;20.52;991970;Hacker Group;Unpatched Software;AI-based Detection;45
Nigeria;2017;Ransomware;Banking;54.78;307431;Hacker Group;Weak Passwords;VPN;25
Nigeria;2022;Ransomware;Education;40.97;698618;Insider;Weak Passwords;Antivirus;71
Spain;2020;SQL Injection;Telecommunications;97.95;453528;Nation-state;Zero-day;Firewall;40
Australia;2021;Phishing;Banking;48.73;859460;Unknown;Social Engineering;VPN;77
South Africa;2016;Ransomware;Government;24.6;962919;Insider;Weak Passwords;AI-based Detection;97
South Africa;2021;Phishing;Retail;4.03;179179;Insider;Social Engineering;Antivirus;76
Russia;2023;Man-in-the-Middle;Banking;71.14;477227;Nation-state;Weak Passwords;Antivirus;25
Israel;2020;Phishing;Government;33.0;833929;Nation-state;Social Engineering;VPN;80
Japan;2024;SQL Injection;Government;4.59;754225;Hacker Group;Zero-day;Firewall;99
Iran;2015;DDoS;Banking;92.57;922452;Hacker Group;Unpatched Software;VPN;39
Italy;2023;Malware;Banking;90.47;788716;Unknown;Unpatched Software;Antivirus;100
India;2016;DDoS;Education;83.11;616741;Nation-state;Unpatched Software;Encryption;44
USA;2016;Phishing;Healthcare;80.24;490341;Insider;Social Engineering;VPN;29
China;2016;Malware;Banking;90.7;268985;Hacker Group;Zero-day;Firewall;86
USA;2024;DDoS;Government;15.95;130569;Nation-state;Unpatched Software;AI-based Detection;36
Israel;2020;DDoS;Banking;55.04;933144;Nation-state;Unpatched Software;Antivirus;27
Spain;2023;Phishing;Government;80.12;195570;Unknown;Social Engineering;VPN;117
Italy;2023;Malware;Banking;72.64;329054;Insider;Zero-day;Encryption;29
Israel;2016;Malware;Telecommunications;99.75;134210;Hacker Group;Social Engineering;Antivirus;94
China;2017;Malware;Education;18.66;563339;Insider;Social Engineering;Antivirus;52
Spain;2024;Ransomware;Education;70.71;96986;Insider;Weak Passwords;VPN;43
France;2019;DDoS;IT;6.61;292945;Insider;Unpatched Software;Antivirus;75
Italy;2018;SQL Injection;Education;80.43;442708;Unknown;Zero-day;Firewall;50
India;2015;Malware;IT;79.26;87604;Hacker Group;Social Engineering;VPN;70
Japan;2022;Man-in-the-Middle;Healthcare;74.55;14214;Nation-state;Zero-day;Firewall;107
Italy;2019;Malware;Healthcare;78.92;88447;Nation-state;Unpatched Software;Antivirus;83
South Korea;2022;DDoS;Government;29.73;215611;Hacker Group;Unpatched Software;AI-based Detection;98
Canada;2023;Malware;Banking;54.43;171352;Insider;Social Engineering;Encryption;102
Italy;2017;SQL Injection;IT;90.43;631124;Nation-state;Zero-day;Firewall;87
South Africa;2018;Man-in-the-Middle;Education;39.89;496652;Hacker Group;Unpatched Software;Antivirus;36
India;2024;Man-in-the-Middle;Government;44.46;498170;Insider;Weak Passwords;VPN;79
Italy;2020;DDoS;Government;16.31;195329;Insider;Weak Passwords;VPN;82
Brazil;2020;SQL Injection;Education;20.09;534919;Nation-state;Zero-day;Firewall;27
France;2021;Ransomware;Education;50.28;568789;Unknown;Weak Passwords;Antivirus;54
Mexico;2024;SQL Injection;Telecommunications;54.66;192234;Nation-state;Zero-day;Firewall;26
UK;2016;SQL Injection;Telecommunications;83.54;125206;Unknown;Zero-day;Firewall;77
Italy;2021;Man-in-the-Middle;Government;92.03;299711;Unknown;Unpatched Software;AI-based Detection;37
UK;2015;Phishing;Telecommunications;44.52;683937;Hacker Group;Social Engineering;Antivirus;101
Japan;2016;Malware;IT;9.54;339747;Hacker Group;Zero-day;VPN;118
Australia;2016;Malware;Government;61.67;977874;Unknown;Social Engineering;Encryption;109
Russia;2022;DDoS;Retail;23.56;617375;Unknown;Social Engineering;Antivirus;117
Japan;2015;Ransomware;Telecommunications;16.36;466975;Nation-state;Weak Passwords;VPN;41
Mexico;2024;SQL Injection;Education;34.81;873870;Nation-state;Zero-day;Firewall;30
Brazil;2022;SQL Injection;Education;42.02;777200;Nation-state;Zero-day;Firewall;74
South Korea;2021;Phishing;Retail;18.84;904234;Nation-state;Social Engineering;Antivirus;108
Canada;2015;Phishing;Healthcare;6.85;792135;Nation-state;Social Engineering;VPN;49
Australia;2016;SQL Injection;Banking;18.59;135370;Nation-state;Zero-day;Firewall;72
Iran;2019;Phishing;Healthcare;57.71;584015;Nation-state;Social Engineering;Antivirus;96
Brazil;2020;Phishing;Education;88.99;648189;Hacker Group;Social Engineering;VPN;50
Japan;2018;Phishing;Government;17.33;561507;Nation-state;Social Engineering;VPN;81
USA;2015;Man-in-the-Middle;Education;49.09;298076;Insider;Unpatched Software;Encryption;53
Russia;2019;Phishing;Government;16.43;312069;Nation-state;Social Engineering;Antivirus;70
UK;2021;Phishing;IT;92.54;892441;Hacker Group;Social Engineering;Antivirus;26
Japan;2020;SQL Injection;Telecommunications;44.84;755475;Hacker Group;Zero-day;Firewall;79
Canada;2024;Man-in-the-Middle;Healthcare;91.16;322918;Hacker Group;Social Engineering;Encryption;120
India;2019;Ransomware;Healthcare;2.43;444300;Nation-state;Weak Passwords;Encryption;54
South Korea;2018;Man-in-the-Middle;Retail;49.75;834103;Insider;Social Engineering;VPN;55
Iran;2022;Malware;Retail;82.29;213745;Insider;Unpatched Software;Encryption;74
Australia;2018;Phishing;Banking;42.73;660882;Hacker Group;Social Engineering;VPN;117
Japan;2016;Ransomware;Banking;10.1;392746;Unknown;Weak Passwords;Antivirus;120
UK;2018;SQL Injection;Retail;75.1;830121;Hacker Group;Zero-day;Firewall;46
USA;2024;Man-in-the-Middle;Telecommunications;23.01;433290;Nation-state;Social Engineering;VPN;42
Brazil;2020;SQL Injection;Banking;51.26;274204;Hacker Group;Zero-day;Firewall;105
India;2023;Phishing;Telecommunications;47.43;661038;Unknown;Social Engineering;Antivirus;64
Russia;2024;Phishing;Government;87.71;753491;Nation-state;Social Engineering;VPN;39
Mexico;2017;Malware;Telecommunications;8.19;268086;Nation-state;Zero-day;VPN;40
France;2017;Ransomware;Banking;60.91;485097;Insider;Weak Passwords;AI-based Detection;115
Canada;2018;DDoS;Government;67.74;724174;Nation-state;Unpatched Software;AI-based Detection;112
Italy;2020;Malware;Education;52.24;899091;Nation-state;Zero-day;Encryption;83
Mexico;2017;DDoS;Banking;15.93;555045;Insider;Unpatched Software;Antivirus;54
Germany;2018;Phishing;Retail;40.42;965408;Hacker Group;Social Engineering;Antivirus;50
India;2023;Phishing;Education;22.98;396719;Unknown;Social Engineering;VPN;87
India;2016;SQL Injection;Healthcare;33.92;210930;Unknown;Zero-day;Firewall;75
USA;2020;Malware;Telecommunications;49.71;968763;Hacker Group;Weak Passwords;VPN;107
Israel;2024;SQL Injection;Retail;5.43;664703;Hacker Group;Zero-day;Firewall;65
Brazil;2023;Malware;Telecommunications;81.75;139464;Insider;Social Engineering;Firewall;87
Israel;2024;Malware;Telecommunications;40.45;322959;Insider;Weak Passwords;Antivirus;112
South Korea;2022;SQL Injection;Telecommunications;48.96;114340;Insider;Zero-day;Firewall;32
Israel;2015;Malware;Banking;26.13;125251;Unknown;Unpatched Software;Firewall;26
Australia;2017;DDoS;Retail;36.47;813739;Nation-state;Zero-day;AI-based Detection;53
Mexico;2021;Malware;Healthcare;21.26;316158;Insider;Social Engineering;AI-based Detection;116
Mexico;2024;DDoS;Government;31.5;747488;Nation-state;Social Engineering;Firewall;100
Italy;2016;Phishing;IT;55.19;795406;Hacker Group;Social Engineering;VPN;114
Australia;2019;Phishing;Government;39.36;688044;Nation-state;Social Engineering;VPN;49
India;2015;Phishing;Telecommunications;34.08;906491;Insider;Social Engineering;VPN;86
Iran;2022;Malware;Retail;27.67;199547;Insider;Zero-day;Encryption;53
Iran;2024;Man-in-the-Middle;Banking;36.77;244617;Nation-state;Zero-day;Firewall;88
Iran;2017;Phishing;IT;53.27;255845;Unknown;Social Engineering;VPN;108
Japan;2017;DDoS;Telecommunications;29.39;745586;Nation-state;Weak Passwords;Encryption;110
India;2023;DDoS;Education;52.29;880008;Hacker Group;Weak Passwords;Firewall;87
Israel;2023;SQL Injection;Telecommunications;40.76;698938;Unknown;Zero-day;Firewall;81
USA;2023;Man-in-the-Middle;Telecommunications;29.51;793930;Unknown;Unpatched Software;AI-based Detection;37
China;2017;Man-in-the-Middle;Retail;57.62;198424;Unknown;Unpatched Software;Antivirus;42
Nigeria;2017;Man-in-the-Middle;Telecommunications;86.97;77229;Insider;Zero-day;Antivirus;71
Spain;2015;Man-in-the-Middle;Banking;11.32;621240;Hacker Group;Zero-day;Antivirus;117
Spain;2022;SQL Injection;Education;66.27;36224;Insider;Zero-day;Firewall;26
Iran;2018;Phishing;Banking;6.35;134490;Insider;Social Engineering;Antivirus;36
Nigeria;2017;Phishing;Banking;92.27;847875;Insider;Social Engineering;VPN;60
Mexico;2023;Malware;Healthcare;86.31;539475;Insider;Unpatched Software;Firewall;42
Japan;2015;Ransomware;Healthcare;19.83;269361;Unknown;Weak Passwords;Firewall;87
UK;2016;Man-in-the-Middle;Healthcare;53.56;498458;Hacker Group;Social Engineering;Encryption;72
Israel;2024;Malware;Education;38.56;85751;Nation-state;Zero-day;AI-based Detection;103
France;2016;DDoS;Healthcare;96.68;758146;Insider;Unpatched Software;Encryption;34
Iran;2020;Ransomware;Healthcare;44.25;963129;Nation-state;Weak Passwords;Encryption;92
Iran;2015;DDoS;Government;90.77;255662;Hacker Group;Weak Passwords;Firewall;112
Japan;2022;Malware;Retail;45.33;600048;Insider;Zero-day;Firewall;72
South Korea;2020;Malware;Banking;32.77;903895;Unknown;Social Engineering;Encryption;111
Germany;2018;Malware;Retail;30.08;978880;Insider;Unpatched Software;Antivirus;109
Mexico;2019;Man-in-the-Middle;Retail;12.01;845587;Unknown;Zero-day;Encryption;98
France;2024;Ransomware;Retail;79.84;694628;Unknown;Weak Passwords;AI-based Detection;71
Italy;2024;Ransomware;Government;28.83;916867;Unknown;Weak Passwords;Firewall;80
Mexico;2018;Man-in-the-Middle;IT;49.59;656391;Insider;Unpatched Software;Encryption;109
USA;2018;Phishing;Healthcare;28.32;381782;Unknown;Social Engineering;Antivirus;69
Israel;2016;Malware;Healthcare;30.86;853967;Insider;Weak Passwords;Encryption;82
India;2021;SQL Injection;IT;38.87;900873;Hacker Group;Zero-day;Firewall;119
Mexico;2022;Malware;Banking;57.92;752030;Nation-state;Zero-day;Firewall;110
Japan;2020;SQL Injection;Healthcare;17.98;109479;Unknown;Zero-day;Firewall;60
Germany;2016;Malware;IT;26.37;915653;Insider;Social Engineering;VPN;53
Mexico;2024;Man-in-the-Middle;Healthcare;40.88;987952;Insider;Social Engineering;Firewall;89
UK;2019;Malware;Telecommunications;79.89;799433;Unknown;Zero-day;Firewall;38
Russia;2021;Ransomware;Banking;24.27;744454;Nation-state;Weak Passwords;AI-based Detection;68
USA;2019;Man-in-the-Middle;Retail;12.21;263221;Nation-state;Unpatched Software;Encryption;64
Canada;2021;DDoS;Education;43.5;113162;Unknown;Weak Passwords;Antivirus;82
South Africa;2023;Malware;Telecommunications;60.98;703058;Unknown;Social Engineering;Firewall;64
Iran;2024;DDoS;Healthcare;97.71;744684;Unknown;Social Engineering;Encryption;24
South Korea;2018;SQL Injection;Government;44.85;134523;Hacker Group;Zero-day;Firewall;33
Japan;2023;Man-in-the-Middle;Government;35.19;332702;Unknown;Weak Passwords;VPN;26
Spain;2019;Phishing;IT;40.88;26693;Nation-state;Social Engineering;Antivirus;109
South Africa;2020;Ransomware;IT;93.02;929663;Insider;Weak Passwords;VPN;37
Israel;2018;Man-in-the-Middle;Banking;69.53;177629;Unknown;Social Engineering;Firewall;75
Germany;2020;Ransomware;Telecommunications;99.28;973636;Insider;Weak Passwords;Firewall;26
Australia;2022;DDoS;Education;62.28;732320;Insider;Social Engineering;Antivirus;93
Australia;2020;Ransomware;Retail;94.42;452563;Unknown;Weak Passwords;AI-based Detection;59
Japan;2020;SQL Injection;Healthcare;89.01;605102;Insider;Zero-day;Firewall;101
Mexico;2023;Man-in-the-Middle;Banking;47.45;495020;Unknown;Unpatched Software;Firewall;94
Spain;2020;SQL Injection;IT;4.56;203281;Insider;Zero-day;Firewall;112
Germany;2016;Malware;Healthcare;25.51;721940;Insider;Weak Passwords;Encryption;41
Brazil;2022;Ransomware;Education;63.65;473404;Nation-state;Weak Passwords;Antivirus;116
Australia;2024;Ransomware;Telecommunications;7.81;504854;Insider;Weak Passwords;Firewall;56
France;2015;Man-in-the-Middle;Telecommunications;18.7;53047;Unknown;Social Engineering;Firewall;67
Japan;2019;Malware;Banking;43.48;343234;Nation-state;Unpatched Software;Encryption;68
South Africa;2018;Ransomware;Education;7.35;248275;Nation-state;Weak Passwords;AI-based Detection;33
USA;2020;Phishing;Telecommunications;5.34;65918;Unknown;Social Engineering;VPN;76
Spain;2022;Malware;Government;26.0;41144;Insider;Social Engineering;Firewall;102
France;2022;Malware;IT;64.36;253842;Nation-state;Zero-day;Encryption;68
South Africa;2015;SQL Injection;IT;82.32;32815;Insider;Zero-day;Firewall;43
South Korea;2018;Malware;IT;63.4;514609;Insider;Weak Passwords;Encryption;72
USA;2023;Malware;Telecommunications;60.87;429866;Insider;Unpatched Software;Encryption;78
Iran;2024;DDoS;Government;26.82;439901;Nation-state;Unpatched Software;Firewall;31
France;2021;DDoS;IT;23.22;559672;Insider;Weak Passwords;Encryption;57
Brazil;2022;Ransomware;Government;89.69;934361;Hacker Group;Weak Passwords;VPN;107
South Korea;2024;Phishing;Healthcare;72.19;809086;Hacker Group;Social Engineering;VPN;51
Israel;2017;SQL Injection;Healthcare;34.21;180866;Insider;Zero-day;Firewall;100
Japan;2015;Phishing;Telecommunications;85.05;523577;Nation-state;Social Engineering;VPN;117
Iran;2023;Malware;Telecommunications;3.06;748227;Nation-state;Unpatched Software;AI-based Detection;92
France;2015;Phishing;Government;29.39;855283;Nation-state;Social Engineering;VPN;48
Australia;2016;Malware;Banking;84.79;959208;Hacker Group;Unpatched Software;Encryption;65
USA;2020;Man-in-the-Middle;Government;51.3;126690;Unknown;Weak Passwords;Encryption;31
Brazil;2018;SQL Injection;Telecommunications;18.07;65350;Insider;Zero-day;Firewall;98
South Africa;2019;Phishing;Healthcare;97.77;296920;Nation-state;Social Engineering;VPN;40
Canada;2022;Man-in-the-Middle;Banking;46.38;180348;Nation-state;Weak Passwords;VPN;30
USA;2018;Malware;Education;15.35;399145;Unknown;Social Engineering;Antivirus;73
South Africa;2019;Phishing;Banking;15.07;269915;Nation-state;Social Engineering;Antivirus;61
China;2021;DDoS;Retail;3.23;757917;Nation-state;Social Engineering;AI-based Detection;118
Canada;2022;DDoS;Government;94.34;184592;Unknown;Social Engineering;VPN;110
South Africa;2016;Phishing;Banking;34.2;336587;Insider;Social Engineering;VPN;45
South Korea;2018;DDoS;Telecommunications;37.97;227327;Hacker Group;Unpatched Software;Firewall;56
France;2017;Phishing;Healthcare;93.09;116236;Unknown;Social Engineering;VPN;45
Brazil;2020;Ransomware;IT;48.91;691581;Insider;Weak Passwords;Firewall;86
South Africa;2021;DDoS;Government;69.25;879699;Hacker Group;Zero-day;AI-based Detection;62
Iran;2022;SQL Injection;Education;66.45;391681;Nation-state;Zero-day;Firewall;64
China;2015;Ransomware;IT;77.22;271920;Hacker Group;Weak Passwords;VPN;91
Germany;2018;Ransomware;Government;66.11;354234;Hacker Group;Weak Passwords;AI-based Detection;49
Australia;2018;SQL Injection;Government;97.65;97231;Nation-state;Zero-day;Firewall;103
South Africa;2015;Man-in-the-Middle;Telecommunications;59.28;744907;Insider;Weak Passwords;VPN;68
Italy;2022;SQL Injection;IT;56.63;66061;Nation-state;Zero-day;Firewall;70
South Korea;2018;Man-in-the-Middle;IT;13.21;978225;Hacker Group;Unpatched Software;VPN;25
Japan;2016;Malware;Healthcare;44.87;984803;Insider;Social Engineering;AI-based Detection;36
Japan;2017;Man-in-the-Middle;Telecommunications;34.37;666089;Nation-state;Unpatched Software;VPN;83
USA;2018;Phishing;Banking;4.43;40399;Insider;Social Engineering;Antivirus;80
South Korea;2023;SQL Injection;Retail;7.19;19358;Unknown;Zero-day;Firewall;104
South Korea;2016;Phishing;Telecommunications;43.54;149863;Hacker Group;Social Engineering;VPN;36
China;2020;Ransomware;Education;25.03;169973;Unknown;Weak Passwords;Firewall;34
Spain;2019;DDoS;Banking;58.89;941376;Hacker Group;Social Engineering;AI-based Detection;28
Nigeria;2016;Man-in-the-Middle;IT;25.01;696617;Hacker Group;Weak Passwords;Encryption;79
Germany;2016;SQL Injection;Healthcare;47.02;852263;Nation-state;Zero-day;Firewall;105
China;2023;SQL Injection;IT;12.99;682701;Insider;Zero-day;Firewall;57
Nigeria;2023;SQL Injection;Education;92.23;495659;Unknown;Zero-day;Firewall;88
China;2024;Phishing;Banking;82.08;942368;Hacker Group;Social Engineering;VPN;106
USA;2017;Man-in-the-Middle;Banking;78.19;387091;Hacker Group;Weak Passwords;AI-based Detection;118
China;2023;Ransomware;Healthcare;24.55;746475;Unknown;Weak Passwords;Firewall;47
UK;2019;Phishing;Banking;97.7;597028;Nation-state;Social Engineering;VPN;35
India;2019;Man-in-the-Middle;Telecommunications;8.82;635037;Nation-state;Zero-day;VPN;41
Australia;2024;SQL Injection;Banking;39.86;439668;Unknown;Zero-day;Firewall;59
Brazil;2020;DDoS;Education;41.21;636546;Insider;Zero-day;Firewall;76
South Korea;2016;Malware;Telecommunications;40.32;338387;Insider;Zero-day;Antivirus;109
South Korea;2017;DDoS;Healthcare;91.61;147419;Nation-state;Weak Passwords;Antivirus;43
Mexico;2020;DDoS;Banking;1.14;17449;Hacker Group;Social Engineering;VPN;30
Israel;2020;Phishing;Healthcare;69.28;733799;Nation-state;Social Engineering;VPN;54
Germany;2019;Phishing;Banking;51.89;850284;Unknown;Social Engineering;VPN;47
Italy;2017;Ransomware;Retail;38.29;478776;Insider;Weak Passwords;Encryption;65
Russia;2015;DDoS;Retail;18.61;605283;Hacker Group;Social Engineering;Firewall;101
Mexico;2019;SQL Injection;Telecommunications;75.64;552403;Unknown;Zero-day;Firewall;115
Italy;2023;Man-in-the-Middle;Education;69.07;647237;Hacker Group;Unpatched Software;Antivirus;100
UK;2015;SQL Injection;Banking;2.02;650319;Hacker Group;Zero-day;Firewall;84
Germany;2020;Ransomware;Telecommunications;77.29;425319;Nation-state;Weak Passwords;Firewall;76
Russia;2021;Phishing;Telecommunications;15.43;666249;Unknown;Social Engineering;VPN;35
South Africa;2022;Ransomware;Government;59.18;286933;Unknown;Weak Passwords;Encryption;54
Israel;2024;Phishing;Retail;8.65;918339;Hacker Group;Social Engineering;VPN;61
France;2019;Phishing;Education;22.14;583664;Hacker Group;Social Engineering;VPN;35
Russia;2016;SQL Injection;Education;69.09;600382;Unknown;Zero-day;Firewall;65
France;2019;Phishing;IT;32.35;553126;Nation-state;Social Engineering;VPN;108
Russia;2018;Man-in-the-Middle;Retail;71.87;955792;Insider;Unpatched Software;AI-based Detection;27
Israel;2020;Man-in-the-Middle;Education;74.64;803539;Unknown;Weak Passwords;Firewall;74
South Africa;2019;Phishing;IT;70.73;722669;Hacker Group;Social Engineering;Antivirus;120
Australia;2015;SQL Injection;IT;57.77;77753;Nation-state;Zero-day;Firewall;88
Australia;2024;Man-in-the-Middle;Government;13.42;747960;Unknown;Zero-day;Firewall;63
Israel;2016;Ransomware;Retail;12.32;511238;Unknown;Weak Passwords;Encryption;119
Nigeria;2021;Man-in-the-Middle;Healthcare;35.72;182703;Nation-state;Unpatched Software;Firewall;83
Japan;2024;Malware;Healthcare;47.25;804953;Unknown;Unpatched Software;Firewall;61
South Africa;2020;SQL Injection;IT;65.82;390835;Nation-state;Zero-day;Firewall;111
Israel;2023;SQL Injection;Healthcare;92.6;183122;Nation-state;Zero-day;Firewall;37
Nigeria;2023;DDoS;IT;71.02;526364;Hacker Group;Zero-day;Encryption;92
USA;2022;SQL Injection;Retail;5.32;164396;Insider;Zero-day;Firewall;69
Canada;2015;Phishing;Telecommunications;72.72;967901;Unknown;Social Engineering;Antivirus;77
France;2024;Ransomware;Retail;48.82;868283;Unknown;Weak Passwords;Antivirus;109
Japan;2023;Ransomware;IT;35.03;907223;Unknown;Weak Passwords;Firewall;58
China;2023;SQL Injection;Government;27.07;877442;Unknown;Zero-day;Firewall;120
USA;2018;Man-in-the-Middle;Telecommunications;49.66;795599;Hacker Group;Zero-day;Encryption;87
South Korea;2016;Ransomware;Education;94.84;982110;Hacker Group;Weak Passwords;VPN;34
China;2024;Malware;IT;12.84;899172;Nation-state;Unpatched Software;VPN;47
China;2024;SQL Injection;Retail;59.91;862102;Nation-state;Zero-day;Firewall;27
Canada;2016;SQL Injection;Banking;9.09;159787;Hacker Group;Zero-day;Firewall;107
Canada;2015;DDoS;IT;79.54;722577;Insider;Social Engineering;VPN;97
France;2021;Phishing;Banking;69.66;709165;Insider;Social Engineering;Antivirus;86
Russia;2024;Malware;Telecommunications;88.93;828235;Insider;Zero-day;Encryption;63
Mexico;2024;DDoS;Telecommunications;51.68;92226;Hacker Group;Social Engineering;Encryption;102
Brazil;2024;Malware;Healthcare;32.15;353173;Insider;Zero-day;Antivirus;109
Italy;2020;Ransomware;Telecommunications;81.76;396601;Nation-state;Weak Passwords;AI-based Detection;63
Italy;2015;SQL Injection;Government;60.14;266121;Unknown;Zero-day;Firewall;36
Australia;2015;Man-in-the-Middle;IT;15.6;287080;Unknown;Unpatched Software;Encryption;70
Japan;2019;SQL Injection;Banking;88.27;963113;Unknown;Zero-day;Firewall;113
Japan;2020;DDoS;Banking;40.82;658139;Insider;Social Engineering;Antivirus;85
France;2024;Ransomware;IT;38.41;558970;Nation-state;Weak Passwords;VPN;36
Spain;2016;DDoS;IT;22.43;633747;Hacker Group;Unpatched Software;Encryption;120
Nigeria;2016;DDoS;IT;68.96;209238;Nation-state;Social Engineering;AI-based Detection;104
Brazil;2023;Man-in-the-Middle;Healthcare;66.35;908895;Insider;Zero-day;Encryption;89
Iran;2023;SQL Injection;Education;76.13;477856;Unknown;Zero-day;Firewall;105
Israel;2015;DDoS;Education;9.16;386612;Insider;Social Engineering;AI-based Detection;47
South Africa;2018;DDoS;Banking;29.45;512708;Hacker Group;Unpatched Software;Antivirus;81
South Africa;2015;Malware;Education;47.04;863725;Hacker Group;Unpatched Software;VPN;80
Nigeria;2015;Ransomware;Telecommunications;9.74;877820;Insider;Weak Passwords;VPN;90
Israel;2024;Phishing;Telecommunications;50.08;436020;Insider;Social Engineering;Antivirus;65
Canada;2024;Phishing;Banking;85.69;724461;Nation-state;Social Engineering;Antivirus;27
Nigeria;2021;Phishing;Retail;77.33;478976;Insider;Social Engineering;Antivirus;34
Germany;2018;Ransomware;Retail;88.11;169686;Nation-state;Weak Passwords;AI-based Detection;26
Russia;2020;Man-in-the-Middle;Education;7.1;901244;Insider;Zero-day;Encryption;49
China;2017;Malware;Education;58.78;641299;Insider;Unpatched Software;Firewall;53
France;2023;Phishing;Banking;91.3;253640;Insider;Social Engineering;Antivirus;112
Spain;2022;Ransomware;Healthcare;19.3;837190;Hacker Group;Weak Passwords;VPN;74
Germany;2016;SQL Injection;Retail;7.92;85033;Unknown;Zero-day;Firewall;95
Brazil;2023;Phishing;Telecommunications;15.4;609152;Unknown;Social Engineering;Antivirus;101
Brazil;2018;Phishing;IT;92.13;23308;Hacker Group;Social Engineering;VPN;59
Australia;2018;DDoS;Retail;42.32;229006;Unknown;Unpatched Software;Antivirus;32
South Korea;2020;Malware;Government;47.83;20819;Hacker Group;Social Engineering;Antivirus;107
Israel;2024;Ransomware;Education;16.44;427443;Insider;Weak Passwords;Encryption;80
France;2016;SQL Injection;Banking;90.33;101484;Nation-state;Zero-day;Firewall;51
Russia;2019;Phishing;Telecommunications;47.34;128485;Unknown;Social Engineering;Antivirus;119
USA;2021;Malware;Healthcare;83.33;303721;Insider;Weak Passwords;Antivirus;85
UK;2022;DDoS;Retail;63.26;445135;Unknown;Weak Passwords;Antivirus;53
Brazil;2023;DDoS;Education;90.94;373574;Hacker Group;Weak Passwords;AI-based Detection;39
Spain;2023;SQL Injection;Healthcare;11.23;669204;Unknown;Zero-day;Firewall;91
UK;2024;SQL Injection;Telecommunications;39.71;789012;Hacker Group;Zero-day;Firewall;37
Canada;2023;Man-in-the-Middle;Banking;22.85;445118;Unknown;Social Engineering;VPN;100
France;2020;DDoS;Banking;59.78;922335;Insider;Weak Passwords;Antivirus;32
Japan;2017;Phishing;Banking;56.91;173317;Insider;Social Engineering;VPN;36
